TAHUN,Transaksi Tunai Domestik,Transaksi Tunai Internasional,Transaksi Belanja Domestik,Transaksi Belanja Internasional,Volume Transaksi Tunai,Volume Transaksi Belanja ,Bank Syariah,Bank Umum,Lembaga Selain Bank,Jumlah Kartu
2013,4069.258,273.335,194271.103,24755.882,239098.52,235695.97,1,20,1,15.091684
2014,4694.055,185.887,222157.456,28020.059,254320.06,250543.22,1,21,1,16.043347
2015,6927.2,474.764,243502.253,29639.714,281325.84,274719.27,1,21,1,16.863842
2016,7683.938,386.528,242329.293,30620.759,305052.3,297661.97,1,21,1,17.406327
2017,8478.658,369.696,254326.205,34586.671,327377.67,319291.75,2,21,1,17.244127
2018,8676.949,415.797,267338.296,37863.024,338347.87,330145.68,2,22,1,17.275128
2019,9626.348,411.728,290482.597,42162.157,349212.41,340248.6,2,22,1,17.487057
2020,7226.043,124.455,210592.799,20960.312,274682.43,268209.73,3,22,1,16.94004
2021,6557.439,100.036,214271.451,23477.058,281901.46,277051.232,4,22,1,16.513623
2022,7877.633,28.337,310032.903,5662.738,342766.09,337486.26,4,23,1,17.198882
2023,8276.389,42.146,388891.829,8119.714,393620.1,388261.35,4,24,1,17.727481
